task_id,topic,slot_id,role,starter_type,editable_layout,header_mode,action_topology,weighted45,oracle_verified,negative_control_verified,repository_unique,independent_audit,serialization_verified,baseline1_score,baseline2_score,baseline3_score,validator_v2_level,api_reconstruction_score,final_score,task_status,projection_status,corpus_admission_status,consumer_status
charm-v1-exposure-window-ledger,Allergies,1,direct_verified_success,empty,header_and_cpp,repaired,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-dose-policy-table,Allergies,2,direct_verified_success,partial_implementation,cpp_only,repaired,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-rotating-sensitivity-mask,Allergies,3,repair_trajectory,skeleton,header_only,reconstructed,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-idempotent-cent-ledger,Bank Account,1,direct_verified_success,compile_bug,header_and_cpp,editable,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-atomic-transfer-plan,Bank Account,2,direct_verified_success,skeleton,cpp_only,extended,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-checkpointed-overdraft,Bank Account,3,repair_trajectory,empty,header_only,repaired,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-ranked-multiset-tree,Binary Search Tree,1,direct_verified_success,semantic_bug,header_and_cpp,editable,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-interval-coverage-tree,Binary Search Tree,2,boundary_case,skeleton,cpp_only,frozen,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-duplicate-side-traversal,Binary Search Tree,3,boundary_case,compile_bug,header_only,extended,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-generation-overwrite-ring,Circular Buffer,1,direct_verified_success,partial_implementation,header_and_cpp,reconstructed,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-reserve-commit-ring,Circular Buffer,2,repair_trajectory,empty,cpp_only,editable,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-wrapped-slice-repair,Circular Buffer,3,direct_verified_success,semantic_bug,header_only,extended,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-offset-civil-clock,Clock,1,direct_verified_success,skeleton,header_and_cpp,repaired,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-weekly-window-intersection,Clock,2,repair_trajectory,near_correct,cpp_only,reconstructed,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-wrapped-elapsed-counter,Clock,3,direct_verified_success,partial_implementation,header_only,frozen,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-stable-complex-quotient,Complex Numbers,1,boundary_case,empty,header_and_cpp,extended,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-complex-polynomial,Complex Numbers,2,direct_verified_success,semantic_bug,cpp_only,repaired,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-polar-mean-repair,Complex Numbers,3,direct_verified_success,skeleton,header_only,editable,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-keyed-square-transposition,Crypto Square,1,calibration,near_correct,header_and_cpp,frozen,calibration_no_change,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-streaming-square-encoder,Crypto Square,2,direct_verified_success,partial_implementation,cpp_only,repaired,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-ragged-square-decoder,Crypto Square,3,direct_verified_success,empty,header_only,reconstructed,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-styled-hollow-diamond,Diamond,1,repair_trajectory,semantic_bug,header_and_cpp,editable,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-manhattan-shell,Diamond,2,direct_verified_success,skeleton,cpp_only,extended,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-clipped-diamond-repair,Diamond,3,boundary_case,near_correct,header_only,repaired,header_only_or_template,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-moving-roster,Grade School,1,direct_verified_success,partial_implementation,header_and_cpp,reconstructed,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-weighted-gradebook,Grade School,2,direct_verified_success,skeleton,cpp_only,frozen,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-attendance-transaction-repair,Grade School,3,boundary_case,compile_bug,header_and_cpp,extended,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-variable-cup-garden,Kindergarten Garden,1,direct_verified_success,skeleton,header_and_cpp,reconstructed,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-rotating-garden-seats,Kindergarten Garden,2,direct_verified_success,empty,cpp_only,editable,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-garden-patch-repair,Kindergarten Garden,3,repair_trajectory,partial_implementation,header_and_cpp,frozen,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-splice-handle-list,Linked List,1,direct_verified_success,skeleton,header_and_cpp,repaired,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-cursor-gap-list,Linked List,2,boundary_case,compile_bug,cpp_only,reconstructed,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-stable-partition-repair,Linked List,3,repair_trajectory,partial_implementation,header_and_cpp,editable,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-bounded-shard-frequency,Parallel Letter Frequency,1,direct_verified_success,empty,header_and_cpp,extended,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-mergeable-frequency,Parallel Letter Frequency,2,boundary_case,semantic_bug,cpp_only,repaired,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-partition-frequency-repair,Parallel Letter Frequency,3,direct_verified_success,skeleton,header_and_cpp,editable,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-extension-canonicalizer,Phone Number,1,direct_verified_success,compile_bug,header_and_cpp,frozen,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-dial-plan-router,Phone Number,2,repair_trajectory,partial_implementation,cpp_only,extended,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-vanity-number-repair,Phone Number,3,direct_verified_success,empty,header_and_cpp,reconstructed,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-rectangular-spiral-fill,Spiral Matrix,1,boundary_case,semantic_bug,header_and_cpp,editable,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-obstacle-spiral-walk,Spiral Matrix,2,repair_trajectory,skeleton,cpp_only,frozen,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-layer-view-repair,Spiral Matrix,3,calibration,near_correct,header_and_cpp,frozen,calibration_no_change,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-wildcard-segment-relation,Sublist,1,boundary_case,partial_implementation,header_and_cpp,reconstructed,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-cyclic-window-containment,Sublist,2,direct_verified_success,empty,cpp_only,frozen,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-tolerant-subsequence-repair,Sublist,3,direct_verified_success,semantic_bug,header_and_cpp,extended,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-configurable-dice-score,Yacht,1,repair_trajectory,skeleton,header_and_cpp,repaired,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-scorecard-assignment,Yacht,2,calibration,near_correct,cpp_only,frozen,calibration_no_change,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-joker-rule-repair,Yacht,3,direct_verified_success,partial_implementation,header_and_cpp,frozen,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-house-constraint-engine,Zebra Puzzle,1,repair_trajectory,empty,header_and_cpp,extended,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-solution-certificate,Zebra Puzzle,2,direct_verified_success,semantic_bug,cpp_only,reconstructed,source_only,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
charm-v1-contradiction-core-repair,Zebra Puzzle,3,boundary_case,skeleton,header_and_cpp,editable,header_and_source,1.0,True,True,True,PASS,True,100.0,100.0,100.0,PLATINUM,1.0,100,local_family_verified,producer_projection_verified,pretraining_v4_1_admitted,consumer_verified_sft_ready
